Area,Category,Item,Description,Date,Orders,Type of Order
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-04,64,Takeaway
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-10,173,Online
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-01-01,193,Dining
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-04,48,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-30,164,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-22,71,Takeaway
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-10-02,2,Dining
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-04-01,121,Takeaway
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-10-20,155,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-02-02,21,Takeaway
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-03,173,Dining
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-12-01,179,Online
Arcadia Bay,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-05-23,189,Dining
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-04,112,Dining
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-07-01,76,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-07-22,94,Takeaway
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-08-07,22,Online
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-04-06,12,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-26,119,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-10-21,117,Online
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-02,9,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-10-16,112,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-04-11,35,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-08-08,31,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-07-04,82,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-09-24,109,Online
Mystic Falls,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-08-18,33,Dining
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2021-12-06,61,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-04-08,168,Online
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-08-21,29,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-02-17,181,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-12,98,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-05,187,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-09-07,7,Online
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2021-11-21,104,Dining
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-08-16,64,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-02-03,148,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-09-25,124,Takeaway
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-12-23,165,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-09,196,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-17,4,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-02-21,145,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-09,148,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-10-27,32,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-03-11,122,Takeaway
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-02-07,132,Online
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-02-13,66,Dining
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-01-07,65,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-06-24,86,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-08-21,130,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-04-08,108,Online
Arcadia Bay,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-09-13,6,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2022-02-08,146,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-12-27,59,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-08-10,90,Takeaway
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-02-03,36,Takeaway
Mystic Falls,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-05-26,4,Online
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-10-08,28,Dining
Neo Tokyo,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-03-17,66,Dining
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-04-20,116,Online
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-21,42,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-08,172,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-02-26,178,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-08-18,36,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-12,150,Dining
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-07-24,167,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-28,18,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-01-16,130,Takeaway
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-06-22,56,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-07-07,164,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-15,36,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-12-21,189,Takeaway
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2022-12-23,101,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-05-16,199,Takeaway
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-11-01,109,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-01-04,100,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-09-18,171,Dining
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-09-04,135,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-05-22,156,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-27,48,Online
Arcadia Bay,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-27,31,Online
Cyber City,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-23,61,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-08-02,75,Dining
Mystic Falls,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-25,179,Online
Elysium District,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-05-04,141,Online
Neo Tokyo,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-05-01,58,Online
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-10-27,22,Takeaway
Arcadia Bay,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-06-21,156,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-01-04,79,Online
Mystic Falls,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-06-22,81,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-28,113,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-05-09,46,Takeaway
Mystic Falls,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-08-21,137,Online
Mystic Falls,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-04-12,114,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-02-19,76,Dining
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-10-28,197,Online
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-05-05,71,Takeaway
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-06-17,43,Takeaway
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-22,50,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-10-16,184,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-07-31,102,Dining
Cyber City,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-07-10,43,Online
Arcadia Bay,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-10-04,41,Online
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-04-17,52,Dining
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-04-27,57,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-11,40,Takeaway
Cyber City,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-08-18,95,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-04-22,105,Takeaway
Elysium District,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-06-23,155,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-05-15,63,Online
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-03-08,83,Dining
Cyber City,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-04-11,106,Takeaway
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-10-07,50,Dining
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-03-08,92,Takeaway
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-04-17,108,Takeaway
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-08-11,17,Takeaway
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-04-28,192,Online
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-10,124,Dining
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-08-03,190,Online
Elysium District,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-09-23,67,Dining
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-26,109,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-08-17,89,Online
Cyber City,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-06-12,112,Dining
Elysium District,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-15,37,Online
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2023-10-18,73,Dining
Cyber City,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-07-01,72,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-06-22,77,Takeaway
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-08,52,Takeaway
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2022-11-24,9,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-04-23,9,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2023-10-10,111,Takeaway
Arcadia Bay,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-03-31,81,Dining
Arcadia Bay,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2023-01-09,68,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-12-10,71,Dining
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-07-18,155,Takeaway
Neo Tokyo,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-07-15,98,Online
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-04-27,166,Takeaway
Neo Tokyo,Burgers,Avatar Avocado,A chicken burger with creamy avocado spread and sun-dried tomato mayo.,2022-10-06,176,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2022-07-06,178,Takeaway
Cyber City,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-04-23,17,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2021-12-15,44,Online
Elysium District,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-09-05,199,Takeaway
Neo Tokyo,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-06-23,168,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-01-23,177,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-09-02,142,Takeaway
Arcadia Bay,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-07-19,166,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-12-22,117,Online
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2021-11-03,109,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-03-28,73,Dining
Neo Tokyo,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-09-22,193,Online
Arcadia Bay,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-08-16,194,Takeaway
Mystic Falls,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2021-11-20,135,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-03-21,32,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-06-18,190,Dining
Cyber City,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-07-08,87,Takeaway
Neo Tokyo,Sides,Quantum Fries,Seasoned fries with a secret spice blend.,2022-07-11,109,Online
Cyber City,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-07-26,5,Takeaway
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-03-06,184,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2021-11-08,167,Dining
Elysium District,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-04-05,17,Takeaway
Cyber City,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-03-15,187,Online
Elysium District,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2022-07-31,136,Online
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2022-12-03,28,Online
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2023-02-12,162,Dining
Mystic Falls,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2022-04-11,114,Online
Mystic Falls,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2022-05-08,108,Online
Neo Tokyo,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-01-21,181,Takeaway
Cyber City,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2022-11-24,82,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-09-06,1,Takeaway
Mystic Falls,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-12-16,169,Dining
Elysium District,Burgers,Epic Stack,"A double beef patty with epic layers of crispy bacon, melted cheddar, and our secret Epic Sauce.",2021-11-04,169,Online
Elysium District,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-10-26,105,Dining
Arcadia Bay,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-08-12,77,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-02-03,151,Online
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-03-14,184,Online
Elysium District,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-10-23,181,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-01-05,35,Takeaway
Cyber City,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-09-18,124,Takeaway
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-01-28,157,Dining
Elysium District,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2023-07-03,83,Dining
Arcadia Bay,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-03-11,153,Dining
Arcadia Bay,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2023-09-08,27,Takeaway
Neo Tokyo,Burgers,Retro Reuben,"Corned beef, sauerkraut, Swiss cheese, and thousand island dressing on a rye bun.",2023-01-30,114,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-08-21,62,Takeaway
Arcadia Bay,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-10-31,181,Online
Cyber City,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-02-24,194,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-09-27,1,Online
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-06-14,82,Dining
Cyber City,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2022-11-13,86,Online
Neo Tokyo,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-11-01,190,Online
Mystic Falls,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-06-18,147,Takeaway
Elysium District,Drinks,Mana Milkshake,A blueberry milkshake that restores your energy.,2023-02-25,157,Takeaway
Arcadia Bay,Sides,Supernova Sweet Potato Fries,Sweet and spicy sweet potato fries with starlight mayo.,2023-10-11,101,Online
Neo Tokyo,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-10,8,Online
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-06-10,180,Dining
Elysium District,Desserts,Cheat Code Cookies,Cookies with chocolate chips and candies.,2022-01-15,7,Dining
Mystic Falls,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-08-07,151,Dining
Neo Tokyo,Burgers,Pixel Pepperjack,"A spicy beef burger with pepperjack cheese, jalapeños, and pixelated salsa.",2021-12-28,54,Dining
Cyber City,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2021-11-14,180,Dining
Arcadia Bay,Desserts,Save Point Sundae,"Ice cream, hot fudge, and sprinkles with a cherry on top.",2022-04-06,70,Takeaway
Neo Tokyo,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-03-01,109,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2023-08-06,126,Dining
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2023-01-06,198,Dining
Neo Tokyo,Sides,Cosmic Rings,Onion rings with cosmic seasoning and intergalactic sauce.,2022-11-02,62,Online
Neo Tokyo,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-08-26,68,Online
Neo Tokyo,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2023-03-13,72,Dining
Mystic Falls,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-04-14,114,Dining
Neo Tokyo,Desserts,Power Pellet Pops,Fruit-infused ice pops.,2023-01-08,122,Dining
Elysium District,Drinks,XP Soda,A range of sodas in multiple epic flavors.,2023-07-29,69,Online
Mystic Falls,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2022-02-24,160,Takeaway
Elysium District,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2023-01-04,118,Dining
Mystic Falls,Drinks,Health Potion Smoothie,A blend of red fruits with a secret energy mix.,2022-04-21,157,Takeaway
Arcadia Bay,Sides,Power-Up Fries,Seasoned fries with power-up dips.,2023-02-23,64,Dining
Arcadia Bay,Burgers,Next Level Veggie,"A plant-based patty with grilled eggplant, zucchini, goat cheese, and green herb sauce.",2022-11-11,133,Takeaway
Cyber City,Burgers,Stealth Mode Mushroom,A grilled portobello cap with smoked gouda and garlic aioli.,2021-12-12,108,Takeaway
Neo Tokyo,Sides,Black Hole Fries,Fries with a dark garlic truffle sauce.,2023-07-09,185,Dining
Mystic Falls,Sides,Byte-Size Tots,Crispy tater tots with cheat-code cheese sauce.,2023-09-29,159,Takeaway
